dataset	fs_method	n_features	MethodGroup	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	IntegrationRank	ClusteringRank	AlignmentRank	CoreOverallRank	effective_n_features	Method	Integrator
E8p5Embryo	scanpy_seurat_v3_batch	2000	expression_driven	cellcharter	0.4606235887716962	0.0092855775488902	3	NA	NA	0	0.4606235887716962	0.0092855775488902	3	0.7431380990746314	0.0027159988885572	3	NA	NA	0	0.7431380990746314	0.0027159988885572	3	NA	NA	0	0.6018808439231639	0.0039970596282813	3	NA	NA	0	27	1	NA	11	2000	Scanpy Seurat v3, batch	CellCharter
E8p5Embryo	scanpy_seurat_v3_batch	2000	expression_driven	scvi	0.7344786498556758	0.0206005856558385	3	NA	NA	0	0.7344786498556758	0.0206005856558385	3	0.3755198300494344	0.0277615107817066	3	NA	NA	0	0.3755198300494344	0.0277615107817066	3	NA	NA	0	0.5549992399525552	0.0140152400363293	3	NA	NA	0	21	14	NA	20	2000	Scanpy Seurat v3, batch	scVI
E8p5Embryo	seurat_vst	2000	expression_driven	cellcharter	0.450383800572423	0.0046911852290732	3	NA	NA	0	0.450383800572423	0.0046911852290732	3	0.7353149688221706	0.0221564745239528	3	NA	NA	0	0.7353149688221706	0.0221564745239528	3	NA	NA	0	0.5928493846972969	0.0126764541281851	3	NA	NA	0	29	4	NA	14	2000	Seurat VST	CellCharter
E8p5Embryo	seurat_vst	2000	expression_driven	scvi	0.7327752009508665	0.0080437582659444	3	NA	NA	0	0.7327752009508665	0.0080437582659444	3	0.3930696800710346	0.0197935677091624	3	NA	NA	0	0.3930696800710346	0.0197935677091624	3	NA	NA	0	0.5629224405109506	0.0123309941578005	3	NA	NA	0	24	8	NA	16	2000	Seurat VST	scVI
E8p5Embryo	somde	2000	spatially_informed	cellcharter	0.4450331754215584	6.568142747122e-4	3	NA	NA	0	0.4450331754215584	6.568142747122e-4	3	0.6886720464394999	0.033113841986094	3	NA	NA	0	0.6886720464394999	0.033113841986094	3	NA	NA	0	0.5668526109305292	0.0165185626645211	3	NA	NA	0	31	13	NA	20	2000	SOMDE	CellCharter
E8p5Embryo	somde	2000	spatially_informed	scvi	0.684871862408055	0.0099634375713338	3	NA	NA	0	0.684871862408055	0.0099634375713338	3	0.454348770958132	0.0159060887478775	3	NA	NA	0	0.454348770958132	0.0159060887478775	3	NA	NA	0	0.5696103166830935	0.0060270133909367	3	NA	NA	0	31	1	NA	4	2000	SOMDE	scVI
E8p5Embryo	triku	2000	expression_driven	cellcharter	0.4697355144695586	0.0048643655916573	3	NA	NA	0	0.4697355144695586	0.0048643655916573	3	0.7088492749789944	0.0055575388027313	3	NA	NA	0	0.7088492749789944	0.0055575388027313	3	NA	NA	0	0.5892923947242764	0.0049985859455753	3	NA	NA	0	24	8	NA	16	2000	triku	CellCharter
E8p5Embryo	triku	2000	expression_driven	scvi	0.7228610240864874	0.0058491041182826	3	NA	NA	0	0.7228610240864874	0.0058491041182826	3	0.4069687410024163	0.0142811420927337	3	NA	NA	0	0.4069687410024163	0.0142811420927337	3	NA	NA	0	0.5649148825444518	0.010047071049267	3	NA	NA	0	28	6	NA	12	2000	triku	scVI
E9p5Embryo	morans_i	2000	spatially_informed	cellcharter	0.5093548497232149	0.005802761335452	3	NA	NA	0	0.5093548497232149	0.005802761335452	3	0.6284146461367811	0.0015808554772227	3	NA	NA	0	0.6284146461367811	0.0015808554772227	3	NA	NA	0	0.568884747929998	0.0021110459413918	3	NA	NA	0	23	17	NA	23	2000	Moran's I	CellCharter
E9p5Embryo	morans_i	2000	spatially_informed	scvi	0.701198603105709	0.0034173861308545	3	NA	NA	0	0.701198603105709	0.0034173861308545	3	0.3845794294837483	0.0145929806758421	3	NA	NA	0	0.3845794294837483	0.0145929806758421	3	NA	NA	0	0.5428890162947286	0.0057554816509498	3	NA	NA	0	21	10	NA	13	2000	Moran's I	scVI
E9p5Embryo	scanpy_seurat_v3_batch	2000	expression_driven	cellcharter	0.5218786378323529	0.0053727858352408	3	NA	NA	0	0.5218786378323529	0.0053727858352408	3	0.6911136040391517	0.0166063373572166	3	NA	NA	0	0.6911136040391517	0.0166063373572166	3	NA	NA	0	0.6064961209357523	0.0057043094657372	3	NA	NA	0	19	7	NA	6	2000	Scanpy Seurat v3, batch	CellCharter
E9p5Embryo	scanpy_seurat_v3_batch	2000	expression_driven	scvi	0.697362839647487	0.0077665368903267	3	NA	NA	0	0.697362839647487	0.0077665368903267	3	0.3686593937185623	0.0177958801934079	3	NA	NA	0	0.3686593937185623	0.0177958801934079	3	NA	NA	0	0.5330111166830247	0.0084102425888409	3	NA	NA	0	22	14	NA	23	2000	Scanpy Seurat v3, batch	scVI
E9p5Embryo	seurat_vst	2000	expression_driven	cellcharter	0.5080663430117097	0.0053594637270872	3	NA	NA	0	0.5080663430117097	0.0053594637270872	3	0.7259532079089096	0.0131485065016804	3	NA	NA	0	0.7259532079089096	0.0131485065016804	3	NA	NA	0	0.6170097754603097	0.0057094782594876	3	NA	NA	0	25	2	NA	5	2000	Seurat VST	CellCharter
E9p5Embryo	seurat_vst	2000	expression_driven	scvi	0.6793546242809985	0.0056292266063666	3	NA	NA	0	0.6793546242809985	0.0056292266063666	3	0.4137200757748046	0.0148635826435739	3	NA	NA	0	0.4137200757748046	0.0148635826435739	3	NA	NA	0	0.5465373500279015	0.0056244301666943	3	NA	NA	0	27	5	NA	6	2000	Seurat VST	scVI
E9p5Embryo	somde	2000	spatially_informed	cellcharter	0.4927776743277455	0.0047128234666435	3	NA	NA	0	0.4927776743277455	0.0047128234666435	3	0.6671649466798849	0.0032384233719584	3	NA	NA	0	0.6671649466798849	0.0032384233719584	3	NA	NA	0	0.5799713105038152	7.441067268212e-4	3	NA	NA	0	31	11	NA	19	2000	SOMDE	CellCharter
E9p5Embryo	somde	2000	spatially_informed	scvi	0.6669174290643562	0.0041660056038085	3	NA	NA	0	0.6669174290643562	0.0041660056038085	3	0.4533098156894656	0.0079248296367427	3	NA	NA	0	0.4533098156894656	0.0079248296367427	3	NA	NA	0	0.560113622376911	0.0057644417200996	3	NA	NA	0	31	1	NA	1	2000	SOMDE	scVI
E9p5Embryo	triku	2000	expression_driven	cellcharter	0.5029969289898443	0.0053535753962116	3	NA	NA	0	0.5029969289898443	0.0053535753962116	3	0.7030797858760197	0.0220248606790826	3	NA	NA	0	0.7030797858760197	0.0220248606790826	3	NA	NA	0	0.603038357432932	0.0136842099650347	3	NA	NA	0	27	6	NA	7	2000	triku	CellCharter
E9p5Embryo	triku	2000	expression_driven	scvi	0.6792281218415613	0.0050397791162815	3	NA	NA	0	0.6792281218415613	0.0050397791162815	3	0.4091920412213397	0.0331307379599803	3	NA	NA	0	0.4091920412213397	0.0331307379599803	3	NA	NA	0	0.5442100815314506	0.0145653110080154	3	NA	NA	0	28	6	NA	10	2000	triku	scVI
MouseBrainSerialSections	morans_i	2000	spatially_informed	cellcharter	0.563857706031603	0.0142393129761569	3	0.8628603516743517	0.0207929331359372	3	0.7133590288529774	0.0169271034750072	3	0.7921251066309237	0.0046222987149995	3	0.8055559450378654	0.0092759329463943	3	0.7988405258343946	0.005198920725132	3	0.9663258223239805	0.0080067565857832	3	0.7560997773436858	0.0080386943372843	3	0.8261751256704507	0.0060264295638087	3	25	9	4	20	2000	Moran's I	CellCharter
MouseBrainSerialSections	morans_i	2000	spatially_informed	scvi	0.2541089896918636	0.1565696684651704	3	0.5976591623122891	0.0634605870085593	3	0.4258840760020763	0.0937120488411155	3	0.6144881044868072	0.1067566983343052	3	0.5205750143112678	0.1185738279027189	3	0.5675315593990375	0.1077671866181768	3	0.5344326965323295	0.2473494748002036	3	0.4967078177005569	0.0610310905372761	3	0.5092827773111478	0.0921319972485019	3	23	22	30	25	2000	Moran's I	scVI
MouseBrainSerialSections	scanpy_seurat_v3_batch	2000	expression_driven	cellcharter	0.6261292649208133	0.0127173665947428	3	0.8298229649174284	0.0234996048679625	3	0.7279761149191208	0.0077807741298131	3	0.7885037534978974	0.0019641991156376	3	0.8119937268889066	0.0021043360235504	3	0.800248740193402	0.0015163678426826	3	0.9584277060889465	0.0068231162702675	3	0.7641124275562614	0.0045480037787682	3	0.8288841870671565	0.0046394030540905	3	11	6	22	8	2000	Scanpy Seurat v3, batch	CellCharter
MouseBrainSerialSections	scanpy_seurat_v3_batch	2000	expression_driven	scvi	0.3971870886139273	0.1341315434958342	3	0.669516419726618	0.0744940378566511	3	0.5333517541702727	0.1025826482025805	3	0.7143292538661455	0.0490084012482316	3	0.6766120307767208	0.2587182145003569	3	0.6954706423214332	0.1538623474565105	3	0.8192581270151842	0.0992386776750037	3	0.614411198245853	0.1208675223549366	3	0.68269350783563	0.1121249439719501	3	14	13	13	13	2000	Scanpy Seurat v3, batch	scVI
MouseBrainSerialSections	seurat_vst	2000	expression_driven	cellcharter	0.6771244055770543	0.0104460512230929	3	0.7913104422543075	0.0159801203710648	3	0.7342174239156809	0.0029289619405592	3	0.7862298450768295	0.0033833141246274	3	0.80455079461226	0.0042760345727491	3	0.7953903198445448	0.0035174758196063	3	0.9569038200382656	0.0086826697706992	3	0.7648038718801128	0.0032201868632081	3	0.8288371879328303	0.001312199338982	3	7	17	27	5	2000	Seurat VST	CellCharter
MouseBrainSerialSections	seurat_vst	2000	expression_driven	scvi	0.5921819167495489	0.1555662729526645	3	0.7707742872732862	0.028037702664545	3	0.6814781020114177	0.0904182344894422	3	0.724438591479683	0.0083957273496693	3	0.7659580906617979	0.0672090920240539	3	0.7451983410707405	0.0355010574366741	3	0.926931904047739	0.0364085258569642	3	0.7133382215410791	0.0616887186868613	3	0.7845361157099656	0.0531281629660761	3	6	9	7	8	2000	Seurat VST	scVI
MouseBrainSerialSections	somde	2000	spatially_informed	cellcharter	0.5603408659470811	0.0085320175071178	3	0.8690254335762102	0.0109583489167221	3	0.7146831497616457	0.0094826393098397	3	0.7881406096907634	8.920293268308e-4	3	0.8064321637125028	0.0197809948367199	3	0.7972863867016331	0.0094651189528327	3	0.961701818563086	0.0039088012109825	3	0.7559847682316394	0.0092717883068954	3	0.8245571183421215	0.005361633773308	3	22	14	17	22	2000	SOMDE	CellCharter
MouseBrainSerialSections	somde	2000	spatially_informed	scvi	0.310370693186394	0.0437108142702468	3	0.6407593908060891	0.0728609658369524	3	0.4755650419962415	0.0519824863593408	3	0.5874510950355212	0.0530214986619173	3	0.4639007187334074	0.1362291163559414	3	0.5256759068844643	0.0944995942689391	3	0.7949864941489647	0.0494605589141576	3	0.500620474440353	0.0717538952478717	3	0.5987424810098901	0.0411580643724081	3	18	27	15	24	2000	SOMDE	scVI
MouseBrainSerialSections	triku	2000	expression_driven	cellcharter	0.6724236594460599	0.0035534170091	3	0.8106368907917512	0.0126755554200194	3	0.7415302751189055	0.0076782995550005	3	0.7879867092953335	0.0044505415743475	3	0.791443536007468	0.0113256838485341	3	0.7897151226514008	0.0078282637402387	3	0.958200534691346	0.008877644858986	3	0.7656226988851532	0.0077197434069468	3	0.8298153108205506	0.0074710133962737	3	4	24	23	3	2000	triku	CellCharter
MouseBrainSerialSections	triku	2000	expression_driven	scvi	0.6890241279963183	0.0044264494055564	3	0.8115698259209831	0.0042216489479084	3	0.7502969769586508	0.004317608200317	3	0.7686762146605228	0.0124909395669783	3	0.8835387504131349	0.0548958434145561	3	0.826107482536829	0.0336043118791626	3	0.9586190990395614	0.005488620174068	3	0.7882022297477397	0.0184677666412921	3	0.8450078528450137	0.013437023063705	3	3	2	3	2	2000	triku	scVI
STOmics0212	morans_i	2000	spatially_informed	cellcharter	0.2171206650421477	0.0099810795940712	3	0.7987923053712785	0.0191883729214712	3	0.5079564852067131	0.0141872338990514	3	0.6899426074152865	0.0140072094471633	3	0.6485186990519874	0.0217815830455817	3	0.6692306532336371	0.0140682309454074	3	NA	NA	0	0.588593569220175	0.0126121380783886	3	NA	NA	0	4	27	NA	12	2000	Moran's I	CellCharter
STOmics0212	morans_i	2000	spatially_informed	scvi	0.4665035828559256	0.0071702848202437	3	0.6398397653392726	0.010115827875056	3	0.553171674097599	0.0028285527478003	3	0.5646901107228343	0.0379150299599612	3	0.5364297513133496	0.025261666412193	3	0.5505599310180919	0.0185207620527541	3	NA	NA	0	0.5518658025578455	0.0085659056843245	3	NA	NA	0	2	28	NA	23	2000	Moran's I	scVI
STOmics0212	scanpy_seurat_v3_batch	2000	expression_driven	cellcharter	0.1030702741062835	0.0155498744142477	3	0.7525406303814534	0.032987037409190297	3	0.4278054522438685	0.0242669489052595	3	0.7286097045859301	0.0114894967054363	3	0.8252151973054495	0.0567095703017644	3	0.7769124509456898	0.0277447065036804	3	NA	NA	0	0.6023589515947791	0.0128620592937735	3	NA	NA	0	24	6	NA	7	2000	Scanpy Seurat v3, batch	CellCharter
STOmics0212	scanpy_seurat_v3_batch	2000	expression_driven	scvi	0.3589696371863491	0.0249329600668299	3	0.6706829713143221	0.021280590794647	3	0.5148263042503357	0.0177138054363556	3	0.6244403872693701	0.0164266348195435	3	0.6523179256404575	0.1026508076277022	3	0.6383791564549138	0.0449640210770683	3	NA	NA	0	0.5766027303526248	0.0302517443696954	3	NA	NA	0	21	4	NA	6	2000	Scanpy Seurat v3, batch	scVI
STOmics0212	seurat_vst	2000	expression_driven	cellcharter	0.0914635674043268	0.0200405566796261	3	0.6947198677553518	0.0194609749596708	3	0.3930917175798393	0.0160242243621169	3	0.7398689443616956	0.0074700115792844	3	0.9295948041689184	0.0402899339656802	3	0.8347318742653069	0.021798026764348	3	NA	NA	0	0.6139117959225732	0.0074773985325613	3	NA	NA	0	31	2	NA	5	2000	Seurat VST	CellCharter
STOmics0212	seurat_vst	2000	expression_driven	scvi	0.2904062524801076	0.0712655508763926	3	0.6710774678965045	0.0048896198952406	3	0.480741860188306	0.0376702341781828	3	0.6339513421511968	0.0164777473102721	3	0.6745114999006486	0.0190447638925344	3	0.6542314210259227	0.0114593504113179	3	NA	NA	0	0.5674866406071143	0.0160934979808713	3	NA	NA	0	29	2	NA	11	2000	Seurat VST	scVI
STOmics0212	somde	2000	spatially_informed	cellcharter	0.1419087676625484	0.0095728140608581	3	0.82896776601226	0.0078878077384874	3	0.4854382668374042	0.0071712797334707	3	0.7005054536611229	0.0056668125245034	3	0.6751465225297256	0.0236617169106916	3	0.6878259880954243	0.0108487761593537	3	NA	NA	0	0.5866321274664142	0.0086740797109685	3	NA	NA	0	9	22	NA	15	2000	SOMDE	CellCharter
STOmics0212	somde	2000	spatially_informed	scvi	0.4144385985758275	0.0290634687246387	3	0.6477694569476117	0.0456254997770218	3	0.5311040277617196	0.0320217796682363	3	0.6014098811658625	0.0161489687739678	3	0.5605848300481361	0.010669659063317	3	0.5809973556069993	0.0053958980784989	3	NA	NA	0	0.5560506916843595	0.0161245206418682	3	NA	NA	0	13	21	NA	20	2000	SOMDE	scVI
STOmics0212	triku	2000	expression_driven	cellcharter	0.0663602312811163	0.0023021882313737	3	0.7919611881780408	0.0057962180255531	3	0.4291607097295786	0.0040393314102194	3	0.7364354630600136	0.0022287486824782	3	0.7155558846338753	0.0128069036238373	3	0.7259956738469443	0.0059426049703873	3	NA	NA	0	0.5775781917882615	0.0037859456814254	3	NA	NA	0	22	13	NA	25	2000	triku	CellCharter
STOmics0212	triku	2000	expression_driven	scvi	0.3564940694674172	0.025627191928328	3	0.7177718666943335	0.012936238749968	3	0.5371329680808753	0.0092767880656352	3	0.6147203744093671	0.0269859236981032	3	0.6465932778090249	0.0341198088370408	3	0.630656826109196	0.0056580199742507	3	NA	NA	0	0.5838948970950356	0.0055853768532462	3	NA	NA	0	9	6	NA	5	2000	triku	scVI
STOmics0218	morans_i	2000	spatially_informed	cellcharter	0.6490830007723772	0.0045184565863649	3	0.8517782160562991	0.007504677721782	3	0.7504306084143382	0.0056066238349155	3	0.73914124027235	0.013242320621411	3	0.7642456021597398	0.0417540530738812	3	0.751693421216045	0.0157816813883193	3	NA	NA	0	0.7510620148151915	0.0098958896393918	3	NA	NA	0	16	12	NA	14	2000	Moran's I	CellCharter
STOmics0218	morans_i	2000	spatially_informed	scvi	0.808284775370597	0.0121355142010876	3	0.6917411482134724	0.0156610508017371	3	0.7500129617920347	0.0138186239567856	3	0.6797831166500835	0.0207717461150685	3	0.7867847599545944	0.0254933230400087	3	0.7332839383023391	0.014327669575341	3	NA	NA	0	0.7416484500471868	0.007514133291299	3	NA	NA	0	25	10	NA	17	2000	Moran's I	scVI
STOmics0218	scanpy_seurat_v3_batch	2000	expression_driven	cellcharter	0.664174611628725	0.0136396172796957	3	0.846774585650868	0.0092563728851311	3	0.7554745986397965	0.0038225032339074	3	0.7344038000016523	0.0078907536754271	3	0.7436345488888579	0.044126225769591	3	0.7390191744452551	0.0236845631010936	3	NA	NA	0	0.7472468865425258	0.0099904564284301	3	NA	NA	0	11	27	NA	18	2000	Scanpy Seurat v3, batch	CellCharter
STOmics0218	scanpy_seurat_v3_batch	2000	expression_driven	scvi	0.8417668619282939	0.0108226078073351	3	0.6820508513785549	0.0145594671424282	3	0.7619088566534243	0.0060348425924196	3	0.6782069880783309	0.0181051658738809	3	0.7598654767614256	0.0387649376255018	3	0.7190362324198784	0.0273509586073636	3	NA	NA	0	0.7404725445366513	0.015196867396137	3	NA	NA	0	12	22	NA	19	2000	Scanpy Seurat v3, batch	scVI
STOmics0218	seurat_vst	2000	expression_driven	cellcharter	0.6573902335222916	0.0128222472152038	3	0.8574494167051321	0.0073189138995984	3	0.7574198251137118	0.0081364286595234	3	0.7358259733887035	0.0073792603206257	3	0.77379201286047	0.0452070665861399	3	0.7548089931245867	0.0262374386039663	3	NA	NA	0	0.7561144091191493	0.0114257546484228	3	NA	NA	0	8	9	NA	3	2000	Seurat VST	CellCharter
STOmics0218	seurat_vst	2000	expression_driven	scvi	0.8378508090426392	0.0158012312113464	3	0.6908363486015853	0.0083406401906698	3	0.7643435788221122	0.0072515498951051	3	0.6864530542498709	0.009317450250368	3	0.7911421346019357	0.034028928237365	3	0.7387975944259034	0.0189870765888403	3	NA	NA	0	0.7515705866240078	0.0120947375973387	3	NA	NA	0	9	7	NA	3	2000	Seurat VST	scVI
STOmics0218	somde	2000	spatially_informed	cellcharter	0.6515701804582986	0.0076927472869854	3	0.86216220792691	0.0096406011632655	3	0.7568661941926044	0.0081341078633003	3	0.739901440228747	0.0064178875496696	3	0.766140371892906	0.0440318088080893	3	0.7530209060608265	0.0216997307475221	3	NA	NA	0	0.7549435501267153	0.0101399487930629	3	NA	NA	0	9	11	NA	7	2000	SOMDE	CellCharter
STOmics0218	somde	2000	spatially_informed	scvi	0.8137223496304896	0.0092749298663701	3	0.6795570408763214	0.011388910372891	3	0.7466396952534055	0.002288168869121	3	0.6864451719113246	0.0090641711868846	3	0.7971774103594625	0.050750284916162	3	0.7418112911353937	0.0296234930543686	3	NA	NA	0	0.7442254931943996	0.0154380233941333	3	NA	NA	0	28	5	NA	13	2000	SOMDE	scVI
STOmics0218	triku	2000	expression_driven	cellcharter	0.6905936553721999	0.0094373152887175	3	0.8439182822753998	0.0135481224666304	3	0.7672559688237998	0.0057830746865729	3	0.7398590936506185	0.0037640165297866	3	0.7744994861792097	0.0502190761817932	3	0.7571792899149141	0.0269154275705876	3	NA	NA	0	0.7622176293693569	0.0108902129014191	3	NA	NA	0	1	6	NA	2	2000	triku	CellCharter
STOmics0218	triku	2000	expression_driven	scvi	0.8207528584652114	0.005166098777243	3	0.7029975011835109	0.0078059392992571	3	0.761875179824361	0.0054400696577905	3	0.6983960380905964	0.0051979806728703	3	0.7933510615761546	0.0346356475359331	3	0.7458735498333756	0.015180389509564	3	NA	NA	0	0.7538743648288683	0.0086668519211383	3	NA	NA	0	13	4	NA	2	2000	triku	scVI
STOmics0224	morans_i	2000	spatially_informed	cellcharter	0.360267411712545	0.0142297547891992	3	0.8021991426629119	0.0293497324718278	3	0.5812332771877284	0.0213826449824361	3	0.7206603449805239	0.00554696184991	3	0.6873462477452152	0.0360328844925688	3	0.7040032963628696	0.016968430532674	3	NA	NA	0	0.6426182867752991	0.0177582261159746	3	NA	NA	0	11	16	NA	13	2000	Moran's I	CellCharter
STOmics0224	morans_i	2000	spatially_informed	scvi	0.7315992808828992	0.0287524167471724	3	0.5291121385144301	0.041460143405756	3	0.6303557096986646	0.0333843609514334	3	0.5127016649587985	0.0116414080809574	3	0.8026462111246752	0.0612193742979703	3	0.6576739380417368	0.0248922637450709	3	NA	NA	0	0.6440148238702007	0.0289507387147049	3	NA	NA	0	20	2	NA	4	2000	Moran's I	scVI
STOmics0224	scanpy_seurat_v3_batch	2000	expression_driven	cellcharter	0.4603176474804809	0.0113507814353393	3	0.7167457327963961	0.0128945998998972	3	0.5885316901384385	0.0102598638479407	3	0.6833571679633685	0.0099606595726194	3	0.8334555108764673	0.0310748253017149	3	0.758406339419918	0.0204941853701616	3	NA	NA	0	0.6734690147791783	0.0136585152655575	3	NA	NA	0	9	2	NA	2	2000	Scanpy Seurat v3, batch	CellCharter
